Name	Age	Nationality	Club	Joined
S. Sy	22	Senegal	AS Monaco	2014-07-01
C. Gonzáles	25	Peru	NA	NA
R. Nagaki	30	Japan	Kashima Antlers	2016-01-01
M. Al Shalhoub	37	Saudi Arabia	Al Hilal	1998-07-01
A. Le Tallec	33	France	US Orléans Loiret Football	2018-01-05
D. Vidošić	31	Australia	Melbourne City FC	2018-01-03
C. Guerra	23	Chile	Unión Española	2013-01-01
M. Koné	21	Senegal	SG Dynamo Dresden	2018-01-30
Isidoro	31	Spain	FK Bodø/Glimt	2018-01-16
O. Halvorsen	30	Norway	Sarpsborg 08 FF	2017-01-08
F. Ciampichetti	30	Argentina	CD Antofagasta	2016-02-07
Li Ang	24	China PR	Jiangsu Suning FC	2017-09-28
P. Kurzweg	24	Germany	FC Würzburger Kickers	NA
Cho Won Hee	35	Korea Republic	Suwon Samsung Bluewings	2016-01-28
J. Drolè	20	Ivory Coast	Antalyaspor	2017-01-30
C. Itten	21	Switzerland	FC St. Gallen	2018-06-25
R. Guitane	19	France	Stade Rennais FC	2018-01-31
J. Ojala	29	Finland	BK Häcken	2017-02-17
J. Abarca	29	Chile	San Luis de Quillota	2018-07-01
M. González	24	Argentina	Club Atlético Tigre	NA
E. Ómarsson	23	Iceland	Excelsior	2018-08-11
T. Hasegawa	24	Japan	Kawasaki Frontale	2016-01-01
A. Diawusie	20	Germany	FC Ingolstadt 04	2018-07-01
I. Khalili	31	Palestine	Hammarby IF	2015-07-15
J. Żubrowski	26	Poland	Korona Kielce	2017-01-10
M. Štěch	28	Czech Republic	Luton Town	2017-07-01
O. Benítez	27	Argentina	CD Palestino	2018-01-06
A. Buksa	21	Poland	Pogoń Szczecin	2018-07-01
K. Tokura	32	Japan	Hokkaido Consadole Sapporo	2014-03-06
C. Madu	24	Nigeria	CD Nacional	2018-08-20
T. van de Pavert	26	Netherlands	De Graafschap	2018-07-01
W. Keane	25	England	Hull City	2016-08-31
S. Branca	26	Italy	Cittadella	2018-07-06
N. Antonitsch	26	Austria	FSV Zwickau	2017-08-31
T. Umesaki	31	Japan	Shonan Bellmare	2017-12-27
A. Nakamura	27	Japan	Kashima Antlers	2013-01-01
N. Thompson	27	England	Portsmouth	2017-07-01
A. Kolev	25	Bulgaria	Arka Gdynia	2018-06-15
G. Bijl	22	Netherlands	FC Emmen	2017-07-01
C. Gunter	28	Wales	Reading	2012-07-17
A. Marin	28	France	AC Ajaccio	2017-07-01
J. Gatt	26	United States	SCR Altach	2018-07-16
D. Miloc	27	Argentina	Club Atlético Aldosivi	2018-07-23
M. Wostry	25	Austria	LASK Linz	2018-07-01
K. Moriya	29	Japan	Kawasaki Frontale	2013-01-01
A. Sigurðarson	24	Iceland	IK Start	2018-02-27
D. Lowe	25	Jamaica	IK Start	2017-08-16
Milton Raphael	27	Brazil	Vitória de Setúbal	2018-07-01
B. Blume	26	Denmark	Aarhus GF	2018-03-01
Jordi Quintillà	24	Spain	FC St. Gallen	2018-06-19
C. Doucouré	18	Mali	Racing Club de Lens	2018-07-01
Andrés Prieto	24	Spain	Málaga CF	2017-07-04
Isaac Carcelén	25	Spain	CF Rayo Majadahonda	2018-07-21
Y. Nakano	25	Japan	Vegalta Sendai	2015-01-01
L. Schwechlen	29	France	BB Erzurumspor	2018-07-01
Jonatan Lucca	24	Brazil	Os Belenenses	2018-07-01
L. Hufnagel	24	Georgia	SpVgg Unterhaching	2018-07-02
J. Rothwell	23	England	Blackburn Rovers	2018-06-22
J. Rodríguez	22	Colombia	CD Tenerife	2014-07-31
A. Claude Maurice	20	France	FC Lorient	2016-07-01
R. Taylor	30	England	Plymouth Argyle	2017-01-30
M. Mešanović	27	Bosnia Herzegovina	SK Slavia Praha	2016-01-07
G. Plet	30	Netherlands	Alanyaspor	2017-01-11
B. Dickenson	25	England	Colchester United	2016-07-04
T. Takagi	27	Japan	Cerezo Osaka	2018-01-05
D. Thopola	28	South Africa	Orlando Pirates	2018-01-01
J. Juelsgård	29	Denmark	Aarhus GF	2016-08-31
A. Traoré	23	Mali	FC Metz	2018-08-20
G. Sandoval	34	Chile	CD Antofagasta	2016-06-07
S. Mpontshane	32	South Africa	Orlando Pirates	2015-01-29
C. McCann	30	Republic of Ireland	Atlanta United	2016-07-06
O. Bozanic	29	Australia	Heart of Midlothian	2018-06-20
L. Lezzerini	23	Italy	Venezia FC	2018-07-19
M. Yaghoubi	23	Finland	HJK Helsinki	2017-02-01
Joni Montiel	19	Spain	Deportivo de La Coruña	NA
D. Gorter	30	Netherlands	ADO Den Haag	2017-07-04
T. Mears	35	England	West Bromwich Albion	2018-08-28
S. Diakité	29	Mali	Red Star FC	2016-08-12
R. Mulumba	25	DR Congo	KAS Eupen	2018-01-23
M. Høibråten	23	Norway	Sandefjord Fotball	2018-08-15
M. Lackner	27	Austria	SK Sturm Graz	2018-07-01
M. Domínguez	18	Mexico	Cruz Azul	NA
O. Käuper	21	Germany	SV Werder Bremen	2018-01-01
A. Al Salem	25	Saudi Arabia	Al Fayha	2017-06-18
R. Vanegas	25	Colombia	Once Caldas	2017-12-26
Pablo Larrea	24	Spain	CD Numancia	2017-07-05
L. Craig	31	Scotland	St. Johnstone FC	2015-07-16
D. Gomis	25	France	GFC Ajaccio	2017-06-20
N. Blackman	28	England	Real Sporting de Gijón	NA
F. Kaufmann	25	Germany	FC Würzburger Kickers	2018-01-25
J. Ginnelly	21	England	Walsall	2018-07-01
L. Nmecha	19	England	Preston North End	2016-08-31
I. Alhassan	21	Nigeria	CD Nacional	2018-07-19
L. Crecco	22	Italy	Pescara	2018-08-07
D. Charles	30	England	Wycombe Wanderers	2018-07-01
Cris Salvador	23	Spain	Real Sporting de Gijón	2016-07-29
R. Benson	26	Republic of Ireland	Dundalk	2015-12-08
R. Riski	28	Finland	HJK Helsinki	2018-02-08
K. Hafez	22	Egypt	Medipol Başakşehir FK	2018-07-01
C. Harriott	24	England	Reading	2016-08-05
T. Belmonte	20	Argentina	Club Atlético Lanús	2017-10-28
B. Eleke	22	Nigeria	FC Luzern	2018-07-27
O. Beckles	26	England	Shrewsbury	2017-08-22
Park Jin Po	30	Korea Republic	Jeju United FC	2017-01-06
T. Naylor	27	England	Portsmouth	2018-07-01
G. Kiltie	21	Scotland	Kilmarnock	2013-06-01
R. Shirasaki	25	Japan	Shimizu S-Pulse	2012-01-01
T. Charles	33	Argentina	Club Deportes Temuco	2018-07-01
A. Falatah	34	Saudi Arabia	Al Qadisiyah	2018-07-22
I. Tarasovs	29	Latvia	Śląsk Wrocław	2017-07-07
P. Stolarski	22	Poland	Legia Warszawa	2018-08-14
M. Odjer	21	Ghana	US Salernitana 1919	2014-07-01
B. Niňaj	24	Slovakia	Fortuna Sittard	2018-07-30
Crysan	21	Brazil	Al Batin	2018-08-27
O. Eddahri	27	Sweden	Djurgårdens IF	2018-08-09
J. Obika	27	England	Oxford United	2017-07-06
T. Zhamaletdinov	21	Russia	PFC CSKA Moscow	2014-08-05
K. Mets	25	Estonia	NAC Breda	2017-07-31
M. Coulibaly	19	Senegal	Udinese	2017-07-10
D. Mayor	27	England	Bury	2014-05-03
H. Pell	26	England	Colchester United	2018-07-01
S. McQueen	23	England	Middlesbrough	NA
L. Michel	38	Mexico	Club Tijuana	2018-01-01
C. Lykogiannis	24	Greece	Cagliari	2018-01-22
S. Hertner	27	Germany	SV Darmstadt 98	2018-07-01
Arturo Molina	22	Spain	Levante UD	2017-07-07
C. Warner	30	United States	Minnesota United FC	2017-02-21
V. Prodell	30	Sweden	IF Elfsborg	2016-01-01
T. Renault	34	France	US Orléans Loiret Football	2002-07-01
A. Muyl	22	United States	New York Red Bulls	2015-12-22
E. Apeh	21	Nigeria	RC Celta	2018-07-11
Alex Pozo	19	Spain	Granada CF	NA
D. Kikuchi	27	Japan	Urawa Red Diamonds	2017-01-01
R. Austin	33	Jamaica	Esbjerg fB	2017-07-16
M. Machaj	29	Poland	Jagiellonia Białystok	2018-07-01
H. Radetinac	32	Serbia	Djurgårdens IF	2013-08-09
M. Mikić	38	Croatia	Shonan Bellmare	2017-12-29
M. Guevgeozián	32	Armenia	Gimnasia y Esgrima La Plata	2018-07-31
G. Viscarra	25	Bolivia	NA	NA
I. Lapshov	19	Russia	Lokomotiv Moscow	2016-01-01
E. Fejzullahu	30	Kosovo	Kalmar FF	2017-07-21
J. Ekstrand	29	Sweden	AIK	2018-01-15
G. Rolando	23	Italy	Sampdoria	2014-07-01
R. Inniss	23	England	Dundee FC	NA
T. Yamashita	30	Japan	Cerezo Osaka	2012-01-01
X. Emmers	18	Belgium	US Cremonese	NA
L. Morgan	21	Scotland	Celtic	2018-01-05
W. Kvist	33	Denmark	FC København	2015-07-17
B. Jayiya	28	South Africa	Kaizer Chiefs	2017-07-01
J. Huyghebaert	29	Belgium	Neuchâtel Xamax	NA
José Ángel	26	Spain	FK Bodø/Glimt	2017-03-17
Y. Hurtado	21	Colombia	Alianza Petrolera	2016-01-31
J. González	26	Mexico	Lobos BUAP	NA
R. Söder	27	Sweden	IFK Göteborg	2018-08-11
Choi Bo Kyung	30	Korea Republic	Jeonbuk Hyundai Motors	2014-01-05
A. Hadouir	35	Netherlands	Excelsior	2016-07-11
He Chao	23	China PR	Changchun Yatai FC	2016-01-01
M. Booysen	29	South Africa	Kaizer Chiefs	2018-08-22
C. Main	26	England	Motherwell	2018-01-03
J. Grimmer	24	Scotland	Coventry City	2017-07-05
A. Kann	27	United States	Atlanta United	2016-12-15
M. Lepe	27	Chile	CD Antofagasta	NA
J. Bandowski	24	Germany	VfL Bochum 1848	2016-08-31
Nelson Ferreira	36	Portugal	FC Thun	2012-07-01
A. Matuszczyk	29	Poland	Zagłębie Lubin	2017-07-01
D. Stahl	29	Germany	SpVgg Unterhaching	2016-07-07
Yun Il Lok	26	Korea Republic	Yokohama F. Marinos	2018-01-07
R. McLaughlin	23	Northern Ireland	Blackpool	2018-07-17
P. Joosten	22	Netherlands	VVV-Venlo	NA
G. Magnani	22	Italy	Sassuolo	2018-07-27
F. Bong	30	Cameroon	Paris FC	2016-07-01
M. Restrepo	37	Colombia	Once Caldas	2018-01-02
T. Akindele	26	Canada	FC Dallas	2014-02-27
R. van der Meer	23	Netherlands	Excelsior	2018-07-01
R. Gartler	32	Austria	SKN St. Pölten	2018-07-01
C. Lobos	21	Chile	Universidad Católica	2014-12-06
R. Cierzniak	35	Poland	Legia Warszawa	2016-03-07
M. Abdellaoue	29	Norway	Strømsgodset IF	2018-01-24
L. Novak	29	England	Scunthorpe United	2017-08-31
Jung Seung Yong	27	Korea Republic	Gangwon FC	2016-01-11
L. Gugganig	23	Austria	SpVgg Greuther Fürth	2016-07-01
A. Donnarumma	27	Italy	Milan	2017-07-17
P. Steinhart	25	Germany	TSV 1860 München	2017-08-10
Olavide	22	Spain	CA Osasuna	2014-10-07
C. Jakobsen	25	Denmark	SønderjyskE	2017-01-28
Berrocal	18	Spain	Sevilla FC	2017-07-01
R. Amaral	21	Uruguay	Racing Club	2017-08-24
Abdón	25	Spain	RCD Mallorca	2017-07-04
A. Al Mayoof	31	Saudi Arabia	Al Hilal	2016-07-16
A. Paleari	25	Italy	Cittadella	2016-07-01
José Lara	18	Spain	Sevilla FC	2017-12-01
A. Juel Andersen	27	Denmark	Vendsyssel FF	2018-06-19
G. Vadalá	21	Argentina	CD Universidad de Concepción	NA
Borja Sánchez	22	Spain	Real Oviedo	2018-07-13
A. Ogogo	28	England	Coventry City	2018-07-01
D. Pratley	33	England	Charlton Athletic	2018-07-17
K. Takayama	29	Japan	Shonan Bellmare	2015-01-01
S. Bakış	24	Turkey	FC Admira Wacker Mödling	2018-07-03
Dani Martín	19	Spain	Real Sporting de Gijón	2016-07-01
Zhang Wenzhao	31	China PR	Guangzhou Evergrande Taobao FC	2016-07-07
C. Goodwin	26	Australia	Adelaide United	2018-06-01
J. Becerra	24	Colombia	Atlético Huila	2018-09-28
C. Bravo	24	Chile	San Luis de Quillota	NA
V. Ramis	23	Argentina	Godoy Cruz	2017-08-03
F. Torres	35	Mexico	Lobos BUAP	2018-07-01
M. Mihara	29	Japan	Vissel Kobe	2007-01-01
T. Flanagan	26	Northern Ireland	Sunderland	2018-06-28
L. Thompson	23	Wales	Norwich City	2014-09-01
A. Schlager	22	Austria	LASK Linz	2017-07-01
J. Kaprof	23	Argentina	Atlético Tucumán	2011-04-01
L. Mulholland	29	England	Real Salt Lake	2014-01-21
S. Aasmundsen	28	Norway	Kristiansund BK	2018-01-08
C. Ejuke	20	Nigeria	Vålerenga Fotball	2017-03-10
F. Apaolaza	21	Argentina	Estudiantes de La Plata	2018-04-04
E. Butin	30	France	Stade Brestois 29	2017-07-17
J. Fitzwater	20	England	Walsall	NA
M. Cholewiak	28	Poland	Śląsk Wrocław	2018-02-28
C. Schösswendter	29	Austria	1. FC Union Berlin	2017-07-15
R. Klaasen	24	Netherlands	De Graafschap	2017-07-01
P. Pervan	30	Austria	VfL Wolfsburg	2018-07-01
M. de Jong	31	Canada	Vancouver Whitecaps FC	2016-07-11
Corpas	26	Spain	UD Almería	2018-07-03
A. Lukse	30	Austria	SCR Altach	2014-07-01
A. Wittwer	27	Switzerland	FC St. Gallen	2016-08-05
E. Ebanks-Landell	25	England	Wolverhampton Wanderers	2010-12-01
S. Gündüz	24	Germany	SV Darmstadt 98	2018-08-31
A. Uryga	24	Poland	Wisła Płock	2017-09-04
J. Absalonsen	32	Denmark	SønderjyskE	2018-07-01
J. Willis	29	United States	Houston Dynamo	2014-12-08
E. Brophy	22	Scotland	Kilmarnock	2017-08-18
T. Hübers	21	Germany	Hannover 96	2016-07-01
Q. Laçi	22	Albania	AC Ajaccio	2018-07-07
T. Mohamad	28	Syria	Ohod Club	2018-07-10
Dyjan Azevedo	27	Brazil	Paris FC	2014-01-28
L. Palmer	26	Scotland	Sheffield Wednesday	2010-07-01
F. Evangelista	26	Argentina	Estudiantes de La Plata	NA
Óscar Pinchi	22	Spain	Atlético Madrid	2018-07-02
Z. Laaroubi	33	Morocco	Ohod Club	2018-06-02
M. Palacios	25	Colombia	Alianza Petrolera	2017-06-23
Borja	21	Spain	CD Lugo	2018-08-01
F. Vanzo	24	Belgium	Waasland-Beveren	2015-01-23
A. Zapata	33	Colombia	América de Cali	2016-12-19
S. Szmodics	22	England	Colchester United	2013-09-03
A. Trusty	19	United States	Philadelphia Union	2016-08-10
Ryu Won Woo	27	Korea Republic	Pohang Steelers	2018-01-14
F. Dick	33	Germany	1. FC Kaiserslautern	2018-07-01
D. Rose	24	England	Mansfield Town	2016-07-01
M. Oesterhelweg	27	Germany	VfL Sportfreunde Lotte	2017-07-01
D. Mignanelli	25	Italy	Ascoli	2016-08-06
Lee Jong Ho	26	Korea Republic	Ulsan Hyundai FC	2017-01-06
Z. Clark	26	Scotland	St. Johnstone FC	2010-07-01
S. Stevens	26	Netherlands	Excelsior	2018-07-01
Sergio Gil	22	Spain	CD Lugo	2016-08-31
U. Zeybek	23	Turkey	Fenerbahçe SK	2012-06-04
A. Acosta	21	Mexico	U.N.A.M.	2017-01-01
K. Oi	34	Japan	Júbilo Iwata	2016-01-01
Y. Sari	19	Turkey	Clermont Foot 63	NA
M. Ruiz	17	Mexico	Querétaro	2018-01-01
L. Holmes	31	England	Exeter City	2015-07-01
D. Powers	27	United States	Orlando City SC	2017-08-11
S. Henderson	30	Republic of Ireland	Nottingham Forest	2016-07-22
S. Scougall	25	Scotland	St. Johnstone FC	2017-07-29
Cho Yong Hyung	34	Korea Republic	Jeju United FC	2017-01-06
Cho Young Wook	19	Korea Republic	FC Seoul	2018-01-05
H. Koffi	21	Burkina Faso	LOSC Lille	2017-06-21
S. Sandberg	24	Sweden	Hammarby IF	2018-01-01
T. Gabuza	30	South Africa	Orlando Pirates	2013-08-18
P. Muñoz	32	Chile	CD O'Higgins	2015-05-24
C. MacGillivray	25	England	Portsmouth	2018-07-01
C. Arcus	22	Haiti	AJ Auxerre	2018-07-01
A. Dercho	31	Germany	VfL Osnabrück	2012-07-01
H. Hauger	32	Norway	Strømsgodset IF	2017-01-26
Manu	34	Switzerland	Elche CF	2018-01-25
J. Leko	19	England	West Bromwich Albion	2015-09-23
J. Aguirre	26	Colombia	Atlético Bucaramanga	2011-01-01
Kim Chang Soo	32	Korea Republic	Ulsan Hyundai FC	2017-01-06
L. Ćirković	25	Serbia	FC Luzern	2018-01-23
Isma Cerro	22	Spain	Real Sporting de Gijón	2016-07-21
E. Castillo	23	Ecuador	Club Tijuana	2018-07-10
P. Downing	26	England	Blackburn Rovers	2018-01-08
R. Vollath	28	Germany	KFC Uerdingen 05	2017-07-13
A. Munksgaard	20	Denmark	FC Midtjylland	2015-07-01
M. Ogbu	27	Nigeria	IK Sirius	2017-04-04
Jang Ho Ik	24	Korea Republic	Suwon Samsung Bluewings	2016-01-01
K. Bartolec	23	Croatia	FC Nordsjælland	2016-08-28
G. Malcore	24	Italy	Cittadella	2018-08-09
V. Gvilia	24	Georgia	FC Luzern	2018-01-29
D. Burnić	20	Germany	Borussia Dortmund	2015-07-01
A. Öztürk	25	Turkey	Sunderland	2018-07-01
K. Taketomi	27	Japan	Urawa Red Diamonds	2018-01-05
M. Mancosu	29	Italy	Lecce	2016-07-19
D. Jaković	32	Canada	Los Angeles FC	2018-02-07
M. Saeid	27	Sweden	IK Sirius	2018-08-03
U. Taffertshofer	26	Germany	VfL Osnabrück	2018-07-01
A. Medina	33	Argentina	Club Atlético Aldosivi	2016-07-01
M. Papadopulos	33	Czech Republic	Piast Gliwice	2017-01-29
N. Zaniolo	18	Italy	Roma	2018-07-01
F. Montero	29	Argentina	Argentinos Juniors	2017-08-24
J. Vuković	26	Croatia	Clube Sport Marítimo	2018-07-01
E. Barli	26	Norway	Ranheim Fotball	2017-12-15
G. Carrasco	21	Argentina	Club Atlético Lanús	2017-03-12
A. Balijon	35	France	Le Havre AC	2018-01-09
I. Saavedra	19	Chile	Universidad Católica	2016-07-01
Z. Janjić	32	Bosnia Herzegovina	Korona Kielce	2018-02-07
J. Skjelvik	26	Norway	LA Galaxy	2018-01-03
K. Kamiński	27	Poland	Júbilo Iwata	2015-02-08
M. Endres	27	Germany	SpVgg Unterhaching	2018-07-01
B. Delacourt	32	France	KSV Cercle Brugge	2017-07-04
C. Rismark	26	Norway	SK Brann	2018-08-15
A. Ligi	28	Italy	Carpi	2017-08-31
D. Lachman	28	Curacao	PEC Zwolle	2018-07-01
M. Riascos	27	Colombia	Al Batin	2018-06-13
L. Vignali	22	Italy	Spezia	2015-07-01
S. Skålevik	25	Norway	SK Brann	2015-08-15
M. Djetei	23	Cameroon	Gimnàstic de Tarragona	2016-07-04
A. Fuchs	21	Germany	1. FC Nürnberg	2017-07-01
M. Könnecke	29	Germany	FSV Zwickau	2016-07-01
E. Yao Guy	22	Ivory Coast	FC Lugano	2017-07-21
G. Burke	24	Republic of Ireland	Preston North End	2018-06-16
C. Hemlein	27	Germany	1. FC Kaiserslautern	2018-07-01
D. Anderson	23	Netherlands	US Salernitana 1919	NA
M. Døhr Thychosen	21	Denmark	FC Midtjylland	2014-08-25
A. Nordvik	31	Norway	Odds BK	2018-08-15
D. Thomalla	25	Germany	1. FC Heidenheim 1846	2016-07-01
P. Parzyszek	24	Poland	Piast Gliwice	2018-07-05
M. Fornasier	24	Italy	Pescara	2015-01-23
Michel Douglas	26	Brazil	CD Aves	2018-07-12
Álex Cobo	22	Spain	Deportivo de La Coruña	2016-07-13
M. Çelik	28	Sweden	BK Häcken	2017-08-11
L. Woudenberg	24	Netherlands	SC Heerenveen	2017-08-01
T. Tekie	21	Sweden	Östersunds FK	NA
D. Vega	25	Costa Rica	SK Brann	2016-03-02
N. Rusyn	19	Ukraine	Dynamo Kyiv	2017-07-01
Víctor	21	Spain	Deportivo de La Coruña	2018-07-01
A. Deja	25	Poland	Arka Gdynia	2018-09-05
F. Cornejo	22	Chile	Audax Italiano	2017-06-02
A. Balboa	24	Uruguay	Belgrano de Córdoba	2018-07-23
D. Edwards	32	Wales	Reading	2017-08-26
R. Vargas	23	Bolivia	NA	NA
F. Rherras	25	Morocco	AS Béziers	2018-07-31
Gu Sung Yun	24	Korea Republic	Hokkaido Consadole Sapporo	2015-01-21
C. Mavrias	24	Greece	Hibernian	2018-10-17
E. Martinez	27	Uruguay	Colorado Rapids	2018-02-20
Lee Chang Geun	24	Korea Republic	Jeju United FC	2017-01-06
M. Mohsen	29	Egypt	NA	NA
A. Gómez	25	Peru	Minnesota United FC	2016-06-26
N. Ramírez	21	Chile	Club Deportes Temuco	NA
C. Gebauer	24	Austria	SCR Altach	2017-07-01
C. Knett	27	Austria	FC Wacker Innsbruck	2017-07-01
K. Naismith	26	Scotland	Wigan Athletic	2018-07-01
Rober Correa	25	Spain	Cádiz CF	2017-08-07
C. Escobar	28	Chile	San Luis de Quillota	2018-01-08
J. Smeets	23	Netherlands	Fortuna Sittard	2016-07-21
Borja Galán	25	Spain	AD Alcorcón	2018-07-05
J. Intriago	22	Ecuador	NA	NA
D. Sjölund	35	Finland	IFK Norrköping	2015-01-08
E. Bonifacio	24	Argentina	Gimnasia y Esgrima La Plata	2014-07-01
Lee Ho Seung	28	Korea Republic	Jeonnam Dragons	2016-01-06
G. Hein	21	France	FC Metz	2016-07-01
H. Abe	19	Japan	Kashima Antlers	2017-02-01
A. De Bruyn	24	Belgium	Sint-Truidense VV	2018-07-01
J. Akinde	28	England	Lincoln City	2018-07-06
D. McGregor	32	Scotland	Hibernian	2015-08-25
G. Villarruel	25	Argentina	San Martín de San Juan	NA
Pastrana	21	Spain	RC Celta	2017-07-01
Teixeira José	28	Brazil	Pohang Steelers	NA
A. Fernández	32	Uruguay	San Martin de Tucumán	2018-07-23
J. Devecchi	22	Argentina	San Lorenzo de Almagro	2014-01-04
C. Früchtl	18	Germany	FC Bayern München	2017-04-20
I. Rondanini	23	Italy	Brescia	2018-07-10
W. Creavalle	27	Guyana	Philadelphia Union	2016-01-25
A. Considine	31	Scotland	Aberdeen	2004-07-01
J. Vitale	22	Argentina	San Martin de Tucumán	NA
J. Ryerson	20	Norway	1. FC Union Berlin	2018-07-31
J. Ríos	26	Colombia	Alianza Petrolera	2015-12-21
K. Dabila	21	Ivory Coast	LOSC Lille	2017-07-01
Avilés	20	Spain	CD Leganés	2018-01-01
No Dong Geon	26	Korea Republic	Suwon Samsung Bluewings	2014-01-01
Benjamin Muscato	26	Brazil	Chapecoense	2018-01-01
N. Topor-Stanley	33	Australia	Newcastle Jets	2017-06-14
P. Clement	22	Netherlands	Reading	2017-06-28
H. Toffolo	22	England	Lincoln City	2018-07-01
C. Colkett	21	England	Shrewsbury	2014-07-01
B. Çamoğlu	21	Turkey	Karlsruher SC	2017-07-01
Yang Dong Hyen	32	Korea Republic	Cerezo Osaka	2018-01-06
S. Tetteh	21	Ghana	LASK Linz	NA
A. Dobos	18	Hungary	Fortuna Sittard	2018-07-05
J. Mason	27	Republic of Ireland	Portsmouth	NA
Lee Woong Hee	29	Korea Republic	FC Seoul	2014-01-09
C. Lavery	25	Northern Ireland	Bury	NA
M. Savastano	21	Netherlands	AZ Alkmaar	2018-07-01
N. Granatowski	27	Germany	SV Meppen	2017-07-01
M. Stiefler	29	Germany	Karlsruher SC	2018-07-16
L. Pavez	22	Chile	Unión Española	2018-01-19
S. Román	23	Colombia	Once Caldas	2014-01-01
M. Bakker	18	Netherlands	Ajax	2016-07-01
A. Sambi Lokonga	18	Belgium	RSC Anderlecht	2017-11-10
M. Pérez Acuña	24	Argentina	Club Atlético Tigre	2018-01-15
K. Dempsey	22	England	Fleetwood Town	2017-06-10
Lee You Hyeon	21	Korea Republic	Jeonnam Dragons	2017-01-01
Y. Quintana	22	Uruguay	San Jose Earthquakes	2018-02-06
B. Knighton	33	United States	New England Revolution	2013-12-11
R. Bennett	26	England	Peterborough United	2018-07-01
A. Lonergan	34	England	Middlesbrough	2018-08-02
B. Sverrisson	28	Iceland	Aarhus GF	2016-08-26
D. Forde	38	Republic of Ireland	Cambridge United	2017-07-20
H. Gong	19	Nigeria	Vitesse	2018-07-05
T. Kupisz	28	Poland	Ascoli	2018-07-28
M. Abusabaan	28	Saudi Arabia	Al Faisaly	2017-07-20
C. Amaya	27	Colombia	Once Caldas	2018-01-11
Wu Yake	27	China PR	Changchun Yatai FC	2012-12-31
M. Schulz	23	Germany	FC Luzern	2017-07-10
O. Rojas	36	Mexico	Lobos BUAP	2018-07-01
P. Jaroszyński	23	Poland	Chievo Verona	2017-07-18
L. Reed	20	England	Peterborough United	2018-06-18
T. Elrich	31	Australia	Western Sydney Wanderers	2018-06-01
M. Malaeka	32	Saudi Arabia	Al Faisaly	2016-05-31
C. Rentería	22	Colombia	Deportes Tolima	2018-01-05
S. Cox	31	Republic of Ireland	Southend United	2016-07-18
A. Mannus	36	Northern Ireland	Shamrock Rovers	2018-07-01
P. Jaeckel	19	Germany	SpVgg Greuther Fürth	2018-08-30
J. Bijol	19	Slovenia	PFC CSKA Moscow	2018-07-01
Z. Kozulj	24	Bosnia Herzegovina	Pogoń Szczecin	2018-07-01
Song Jin Hyung	30	Korea Republic	FC Seoul	2017-07-01
C. Duvall	26	United States	Montreal Impact	2016-12-14
R. Williams	21	England	Wycombe Wanderers	NA
M. Naamani	27	Algeria	Al Fateh	2018-06-25
M. Gollner	27	Austria	Wolfsberger AC	2018-07-01
D. Pedersen	25	Denmark	Lillestrøm SK	2018-08-07
O. Berber	26	Turkey	Kayserispor	2017-07-07
Steven Vitória	31	Canada	Lechia Gdańsk	2016-08-17
B. Stokke	27	Norway	Randers FC	2018-07-19
M. Ospitalieri	26	Belgium	Fortuna Sittard	2015-08-31
J. Haugaard	26	Denmark	Stoke City	2015-06-15
S. Mauk	22	Australia	Brisbane Roar	2018-06-15
Óscar Whalley	24	Spain	Aarhus GF	2018-07-01
S. O'Donnell	32	Republic of Ireland	Dundalk	2013-01-01
Marquinhos Cipriano	19	Brazil	Shakhtar Donetsk	2018-07-10
I. Vassell	24	England	Birmingham City	2017-08-14
T. Lehne Olsen	27	Norway	Lillestrøm SK	2018-02-12
S. Pontisso	21	Italy	Udinese	2015-01-01
Henrique Jardinel	30	Brazil	América FC (Minas Gerais)	2018-01-01
C. Almeida	28	Uruguay	Defensa y Justicia	2018-01-18
R. Yalçın	24	Germany	Çaykur Rizespor	2015-07-01
S. Jhingan	24	India	NA	NA
Jeong Hyun Cheol	25	Korea Republic	FC Seoul	2018-02-23
M. McKenzie	19	United States	Philadelphia Union	2018-01-18
J. Deumeland	30	Germany	IK Start	2018-04-20
N. Lang	19	Netherlands	Ajax	2017-02-01
V. Vries	27	Namibia	Kaizer Chiefs	2018-07-01
L. Verstraete	19	Belgium	Waasland-Beveren	NA
J. Jigauri	25	Georgia	Grenoble Foot 38	2018-07-18
D. Moxey	32	England	Exeter City	2017-07-01
C. Wernitznig	28	Austria	Wolfsberger AC	2014-07-01
C. Valeri	33	Australia	Melbourne Victory	2014-06-04
M. Mosquera	25	Colombia	Patriotas Boyacá FC	2018-01-17
R. Kouamé	21	Mali	Paris FC	NA
D. Chima Chukwu	27	Nigeria	Molde FK	2018-02-14
E. Harrison	24	Wales	Ipswich Town	2018-07-23
T. Wendel	29	Germany	VfL Sportfreunde Lotte	2013-07-01
O. Schnitzler	22	Germany	SC Preußen Münster	2018-07-01
A. Coly	25	Senegal	Kristiansund BK	2015-01-21
M. Vera	22	Argentina	CD O'Higgins	2018-01-01
R. De Vita	30	Italy	Livingston FC	2018-05-23
F. Lohkemper	23	Germany	1. FC Magdeburg	2017-07-01
